model,context_length,topk_context_length,question_key,n_tests,answer_accuracy,evidence_accuracy,combined_accuracy
claude-sonnet-4-20250514,200000,50K,onehop,4,1.0,1.0,1.0
claude-sonnet-4-20250514,200000,50K,twohop,4,0.75,0.75,0.75
claude-sonnet-4-20250514,400000,70K,onehop,4,0.75,0.75,0.75
claude-sonnet-4-20250514,400000,70K,twohop,4,1.0,1.0,1.0
claude-sonnet-4-20250514,500000,90K,onehop,4,0.75,0.75,0.75
claude-sonnet-4-20250514,500000,90K,twohop,4,0.25,0.25,0.25
claude-sonnet-4-20250514,600000,100K,onehop,4,1.0,1.0,1.0
claude-sonnet-4-20250514,600000,100K,twohop,4,0.5,0.5,0.5
claude-sonnet-4-20250514,1000000,200K,onehop,4,1.0,1.0,1.0
claude-sonnet-4-20250514,1000000,200K,twohop,4,0.75,0.75,0.75
claude-sonnet-4-5-20250929,200000,50K,onehop,4,1.0,1.0,1.0
claude-sonnet-4-5-20250929,200000,50K,twohop,4,1.0,1.0,1.0
claude-sonnet-4-5-20250929,400000,70K,onehop,4,0.75,0.75,0.75
claude-sonnet-4-5-20250929,400000,70K,twohop,4,1.0,1.0,1.0
claude-sonnet-4-5-20250929,500000,90K,onehop,4,0.75,0.75,0.75
claude-sonnet-4-5-20250929,500000,90K,twohop,4,0.75,0.75,0.75
claude-sonnet-4-5-20250929,600000,100K,onehop,4,1.0,1.0,1.0
claude-sonnet-4-5-20250929,600000,100K,twohop,4,0.5,0.5,0.5
claude-sonnet-4-5-20250929,1000000,200K,onehop,4,0.75,0.5,0.5
claude-sonnet-4-5-20250929,1000000,200K,twohop,4,0.75,0.75,0.75
gpt-4.1,200000,50K,onehop,4,0.5,0.5,0.5
gpt-4.1,200000,50K,twohop,4,1.0,1.0,1.0
gpt-4.1,400000,70K,onehop,4,0.75,0.75,0.75
gpt-4.1,400000,70K,twohop,4,0.75,0.75,0.75
gpt-4.1,500000,90K,onehop,4,0.5,0.5,0.5
gpt-4.1,500000,90K,twohop,4,0.75,0.75,0.75
gpt-4.1,600000,100K,onehop,4,1.0,1.0,1.0
gpt-4.1,600000,100K,twohop,4,0.75,0.75,0.75
gpt-4.1,1000000,200K,onehop,4,0.75,0.75,0.75
gpt-4.1,1000000,200K,twohop,4,0.75,0.75,0.75
gpt-4o,200000,50K,onehop,4,1.0,1.0,1.0
gpt-4o,200000,50K,twohop,4,1.0,1.0,1.0
gpt-4o,400000,70K,onehop,4,1.0,1.0,1.0
gpt-4o,400000,70K,twohop,4,1.0,1.0,1.0
gpt-4o,500000,90K,onehop,4,0.5,0.5,0.5
gpt-4o,500000,90K,twohop,4,0.75,0.75,0.75
gpt-4o,600000,100K,onehop,4,1.0,1.0,1.0
gpt-4o,600000,100K,twohop,4,1.0,1.0,1.0
gpt-4o,1000000,200K,onehop,4,0.5,0.5,0.5
gpt-4o,1000000,200K,twohop,4,0.75,0.75,0.75
gpt-5-2025-08-07,200000,50K,onehop,4,1.0,1.0,1.0
gpt-5-2025-08-07,200000,50K,twohop,4,1.0,1.0,1.0
gpt-5-2025-08-07,400000,70K,onehop,4,1.0,1.0,1.0
gpt-5-2025-08-07,400000,70K,twohop,4,1.0,1.0,1.0
gpt-5-2025-08-07,500000,90K,onehop,4,1.0,1.0,1.0
gpt-5-2025-08-07,500000,90K,twohop,4,1.0,1.0,1.0
gpt-5-2025-08-07,600000,100K,onehop,4,1.0,1.0,1.0
gpt-5-2025-08-07,600000,100K,twohop,4,1.0,1.0,1.0
gpt-5-2025-08-07,1000000,200K,onehop,4,1.0,1.0,1.0
gpt-5-2025-08-07,1000000,200K,twohop,4,1.0,1.0,1.0
o3-mini-2025-01-31,200000,50K,onehop,4,0.75,0.75,0.75
o3-mini-2025-01-31,200000,50K,twohop,4,0.5,0.5,0.5
o3-mini-2025-01-31,400000,70K,onehop,4,0.75,0.75,0.75
o3-mini-2025-01-31,400000,70K,twohop,4,0.5,0.5,0.5
o3-mini-2025-01-31,500000,90K,onehop,4,1.0,1.0,1.0
o3-mini-2025-01-31,500000,90K,twohop,4,0.25,0.25,0.25
o3-mini-2025-01-31,600000,100K,onehop,4,0.75,0.75,0.75
o3-mini-2025-01-31,600000,100K,twohop,4,0.5,0.5,0.5
o3-mini-2025-01-31,1000000,200K,onehop,4,0.75,0.75,0.75
o3-mini-2025-01-31,1000000,200K,twohop,4,0.75,0.75,0.75
