model,context_length,reasoning_hop,depth,combined_accuracy,answer_accuracy,evidence_accuracy
Claude Sonnet 4,10000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,10000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,10000,twohop,33,87.5,87.5,87.5
Claude Sonnet 4,10000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,10000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,20000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,20000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,20000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,20000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,30000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,30000,twohop,33,50.0,50.0,50.0
Claude Sonnet 4,30000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,30000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,33,75.0,75.0,75.0
Claude Sonnet 4,40000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,50000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,50000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,50000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,50000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,50000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,60000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,60000,onehop,33,62.5,62.5,62.5
Claude Sonnet 4,60000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,60000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,60000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,60000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,60000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,60000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,70000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,70000,twohop,0,75.0,75.0,75.0
