model,context_length,primary_depth,secondary_depth,tn_answer,tn_primary_cited,tn_secondary_cited,tn_both,ctn_answer,ctn_primary_cited,ctn_secondary_cited,ctn_both
Claude Sonnet 4,10000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,10000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,10000,50,67,100.0,100.0,0.0,0.0,50.0,50.0,25.0,25.0
Claude Sonnet 4,10000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,20000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,20000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,20000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,20000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,30000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,30000,50,33,75.0,75.0,0.0,0.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,30000,50,67,75.0,75.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,30000,50,100,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,40000,50,0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,40000,50,33,75.0,75.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,40000,50,67,50.0,50.0,0.0,0.0,50.0,50.0,25.0,0.0
Claude Sonnet 4,40000,50,100,75.0,75.0,25.0,25.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,50000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,50000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,50000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,50000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,60000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,50.0,50.0
Claude Sonnet 4,60000,50,33,75.0,75.0,75.0,75.0,100.0,100.0,50.0,50.0
Claude Sonnet 4,60000,50,67,100.0,100.0,25.0,25.0,75.0,75.0,25.0,0.0
Claude Sonnet 4,60000,50,100,100.0,100.0,25.0,25.0,75.0,75.0,0.0,0.0
Claude Sonnet 4,70000,50,0,75.0,75.0,50.0,50.0,50.0,50.0,25.0,25.0
Claude Sonnet 4,70000,50,33,50.0,50.0,25.0,25.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,70000,50,67,50.0,50.0,25.0,25.0,50.0,50.0,50.0,50.0
Claude Sonnet 4,70000,50,100,50.0,50.0,0.0,0.0,25.0,25.0,0.0,0.0
Claude Sonnet 4,80000,50,0,100.0,100.0,0.0,0.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,80000,50,33,75.0,75.0,0.0,0.0,75.0,75.0,50.0,50.0
Claude Sonnet 4,80000,50,67,75.0,75.0,25.0,25.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,80000,50,100,75.0,75.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,90000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
