model,context_length,topk_context_length,task_id,question_key,q_id,topk_used,needle_rank,answer_metric,evidence_metric,combined_metric,input_tokens,output_tokens
claude-sonnet-4-20250514,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,53776,29
claude-sonnet-4-20250514,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,51755,29
claude-sonnet-4-20250514,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,53754,30
claude-sonnet-4-20250514,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,51759,30
claude-sonnet-4-20250514,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,1,1,1,52004,33
claude-sonnet-4-20250514,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,0,0,0,59015,65
claude-sonnet-4-20250514,1000000,200K,0405,onehop,0405_onehop,920,104,1,1,1,52006,28
claude-sonnet-4-20250514,1000000,200K,0405,twohop,0405_twohop,920,920,1,1,1,59017,28
claude-sonnet-4-20250514,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,11334,29
claude-sonnet-4-20250514,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,10322,89
claude-sonnet-4-20250514,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,11346,29
claude-sonnet-4-20250514,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,10325,29
claude-sonnet-4-20250514,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,1,1,1,10865,28
claude-sonnet-4-20250514,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,1,1,1,12412,28
claude-sonnet-4-20250514,200000,50K,0405,onehop,0405_onehop,176,17,1,1,1,10866,27
claude-sonnet-4-20250514,200000,50K,0405,twohop,0405_twohop,176,176,0,0,0,12413,55
claude-sonnet-4-20250514,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,18457,30
claude-sonnet-4-20250514,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,18141,30
claude-sonnet-4-20250514,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,18459,29
claude-sonnet-4-20250514,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,18143,29
claude-sonnet-4-20250514,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,19378,33
claude-sonnet-4-20250514,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,1,1,1,20012,28
claude-sonnet-4-20250514,400000,70K,0405,onehop,0405_onehop,340,57,0,0,0,19380,85
